term,coef_log_salary,std_error,t_stat,approx_pct_effect,ci95_low_pct,ci95_high_pct
intercept,8.284745261029034,0.37658598059496573,21.99961147767641,396195.50908988266,189336.0775666701,828940.2363801957
experience_years,0.048941818813692216,0.017307127753660344,2.8278417719162756,5.015924945162742,1.5133213202596307,8.639381991012263
career_family_Data & Analytics,-0.3028697337407413,0.20464879303662364,-1.479948790543515,-26.130468282111508,-50.53878545510635,10.322962475321628
career_family_Education,-0.7784361737643698,0.24344251717464832,-3.1976179954050967,-54.08765605274406,-71.50904471281476,-26.013596052384834
career_family_Engineering,0.393365823678223,0.15017202902185453,2.619434699260649,48.19604263923871,10.409792797328453,98.91412253843544
career_family_Finance & Accounting,0.3932196083038637,0.42876314085175016,0.9171021732948448,48.17437568344527,-36.05559472811441,243.35522421117906
career_family_Healthcare,0.3764263520007296,0.16858134659181448,2.232906306723066,45.70682253129288,4.708164907310319,102.75857332576979
career_family_Human Resources,-0.029583157355740648,0.1784539024400313,-0.1657747852596384,-2.9149859046226134,-31.56958566293201,37.73846108065928
career_family_Legal & Compliance,-0.01884490511032698,0.23817443855126758,-0.07912228207591879,-1.866845005079476,-38.47132161544904,56.51426882712127
career_family_Operations & Supply Chain,-0.020128116560878994,0.24822483299866252,-0.08108824696434562,-1.9926898332171872,-39.74886582048599,59.423270232710614
career_family_Other,-0.11414215793130261,0.1008631460497662,-1.1316537546328815,-10.78688766474496,-26.78968972506217,8.713914510856014
career_family_Sales & Marketing,0.12027088343249136,0.11074319403182692,1.0860340852903902,12.78023131670285,-9.224955355228005,40.11979421903318
career_family_Technology,0.009478554335800476,0.12796344613130461,0.07407235911788773,0.9523618099191555,-21.44175015115779,29.730224064443366
city_model_Other,0.15259542608885623,0.1834007173830855,0.8320328746049368,16.48536142156185,-18.68746343104665,66.8726619296332
city_model_الباحة,0.3621187297159686,0.29986481901975603,1.207606583859079,43.63694715760713,-20.197576758836068,158.53315915493374
city_model_الخبر,0.11993412047058664,0.2362693844180505,0.5076160026657432,12.742257506405629,-29.04709741917809,79.14442066921623
city_model_الخرج,0.3238136834166074,0.3471683432255095,0.932728141074396,38.23897209942086,-29.997292723314995,172.98963355191844
city_model_الدمام,0.005938786284156317,0.21745893382605758,0.027309920910891024,0.5956455836668484,-34.313760311900545,54.057896424661436
city_model_الرياض,0.12050592469531832,0.17837491752598414,0.675576624598938,12.806742440175366,-20.47580839159059,60.0187425057509
city_model_المدينة المنورة,0.3360714087280353,0.2373714271887423,1.4158039689453155,39.94389533986264,-12.118123749899512,122.84792585857018
city_model_جدة,0.12118553538212831,0.1860785033099664,0.6512602650305045,12.88343316484819,-21.614273182519995,62.56364519976787
city_model_حائل,0.04648176968032139,0.3355342568736508,0.13853062311257425,4.757898119473847,-45.72819689701415,102.20845063108462
city_model_حفر الباطن,0.4581683247416458,0.3871145582979704,1.1835471307410346,58.117513155830245,-25.960852287273173,237.67471316105681
city_model_خميس مشيط,0.22609320556508142,0.36436098226824565,0.620519804721104,25.369251095169055,-38.61804703436219,156.05977589149563
city_model_مكة المكرمة,0.04193375563520117,0.22017538745048548,0.19045614553366697,4.2825395156690815,-32.267902437588766,60.5567882762901
organization_size_صغيرة فئة أ,-0.4337596255479863,0.32908614353066634,-1.3180731977782767,-35.193198424163896,-65.99859935802034,23.522015304992493
organization_size_صغيرة فئة ب,-0.11411336883069975,0.3262191045825237,-0.3498059041536989,-10.784319262508024,-52.92851648260698,69.09256081791145
organization_size_عملاقة,0.2529813284565402,0.3792072647497496,0.667132072544787,28.78592302905496,-38.75358754567571,170.80466113529278
organization_size_كبيرة,-0.19267063236676504,0.34974643952967055,-0.550886615531707,-17.524642345835982,-58.445885895859654,63.69461283989972
organization_size_متوسطة فئة أ,-0.5039394147605994,0.33585564932755674,-1.50046430890645,-39.58540159238152,-68.72078878193193,16.6884828171588
organization_size_متوسطة فئة ب,-0.07558760666720557,0.33919759946480865,-0.22284239860915553,-7.280150179446176,-52.308399875427995,80.26173431569686
organization_size_متوسطة فئة ج,-0.06378135153045515,0.3519100762794211,-0.18124332273967608,-6.1789884688389085,-52.92956556369236,87.00448190341261
