source_dataset,job_title,job_title_norm,career_family,organization,city_standard,region,sector,economic_activity,organization_size,experience_years,entry_level_flag,salary_sar,vacancies,posting_date_hijri
jadarat_detailed,مطور برامج,مطور برامج,Technology,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,حفر الباطن,المنطقة الشرقية,خاص,التسجيل لتقديم خدمات الحوسبة السحابية,عملاقة,4.0,False,8500.0,1,30/04/1444
jadarat_detailed,أخصائي مبيعات,اخصايي مبيعات,Sales & Marketing,شركة التقنية الأساسية للتجارة,الرياض,الرياض,خاص,صيانة برمجيات وتصميم صفحات المواقع,صغيرة فئة ب,2.0,True,5500.0,2,03/05/1444
jadarat_detailed,أخصائي إدارة شبكات,اخصايي اداره شبكات,Technology,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,حفر الباطن,المنطقة الشرقية,خاص,التسجيل لتقديم خدمات الحوسبة السحابية,عملاقة,4.0,False,10000.0,1,30/04/1444
jadarat_detailed,بائع مأكولات ومشروبات,بايع ماكولات ومشروبات,Sales & Marketing,شركة سول المتقدمة المحدودة,الباحة,الباحة,خاص,المطاعم مع الخدمة,متوسطة فئة ج,0.0,True,4500.0,4,30/04/1444
jadarat_detailed,محلل أمن نظم,محلل امن نظم,Data & Analytics,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,حفر الباطن,المنطقة الشرقية,خاص,التسجيل لتقديم خدمات الحوسبة السحابية,عملاقة,4.0,False,10000.0,1,30/04/1444
jadarat_detailed,بائع مأكولات ومشروبات,بايع ماكولات ومشروبات,Sales & Marketing,مقهى الفصل الخامس لتقديم المشروبات,TANUMAH...,عسير,خاص,,متوسطة فئة أ,0.0,True,4500.0,2,30/04/1444
jadarat_detailed,بائع مأكولات ومشروبات,بايع ماكولات ومشروبات,Sales & Marketing,مقهى الفصل الخامس لتقديم المشروبات,الباحة,الباحة,خاص,بيع الأغذية والمشروبات بالتجزئة في الأكشاك والأسواق,متوسطة فئة أ,0.0,True,4500.0,6,30/04/1444
jadarat_detailed,مدير قواعد بيانات,مدير قواعد بيانات,Data & Analytics,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,حفر الباطن,المنطقة الشرقية,خاص,التسجيل لتقديم خدمات الحوسبة السحابية,عملاقة,4.0,False,10000.0,1,30/04/1444
jadarat_detailed,أخصائي أمن بيانات,اخصايي امن بيانات,Data & Analytics,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,حفر الباطن,المنطقة الشرقية,خاص,التسجيل لتقديم خدمات الحوسبة السحابية,عملاقة,0.0,True,7000.0,1,30/04/1444
jadarat_detailed,نادل,نادل,Other,شركة سول المتقدمة المحدودة,الباحة,الباحة,خاص,المطاعم مع الخدمة,متوسطة فئة ج,0.0,True,4500.0,2,30/04/1444
